obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2017-01-01,cortez,observation,observed_total_units,32.0,false,A
2017-01-01,east_village,observation,dsdp_adjusted_total,629.0,false,H
2017-01-01,east_village,observation,observed_individuals,622.0,false,A
2017-01-01,east_village,observation,observed_total_units,622.0,false,A
2017-01-01,gaslamp,observation,dsdp_adjusted_total,42.0,false,H
2017-01-01,gaslamp,observation,observed_individuals,42.0,false,A
2017-01-01,gaslamp,observation,observed_total_units,42.0,false,A
2017-01-01,marina,observation,dsdp_adjusted_total,26.0,false,H
2017-01-01,marina,observation,observed_individuals,26.0,false,A
2017-01-01,marina,observation,observed_total_units,26.0,false,A
2017-02-01,city_center,observation,dsdp_adjusted_total,168.0,false,H
2017-02-01,columbia,observation,dsdp_adjusted_total,35.0,false,H
2017-02-01,columbia,observation,observed_individuals,35.0,false,A
2017-02-01,columbia,observation,observed_total_units,35.0,false,A
2017-02-01,core,observation,observed_individuals,168.0,false,A
2017-02-01,core,observation,observed_total_units,168.0,false,A
2017-02-01,cortez,observation,dsdp_adjusted_total,42.0,false,H
2017-02-01,cortez,observation,observed_individuals,42.0,false,A
2017-02-01,cortez,observation,observed_total_units,42.0,false,A
2017-02-01,east_village,observation,dsdp_adjusted_total,663.0,false,H
2017-02-01,east_village,observation,observed_individuals,662.0,false,A
2017-02-01,east_village,observation,observed_total_units,662.0,false,A
2017-02-01,gaslamp,observation,dsdp_adjusted_total,57.0,false,H
2017-02-01,gaslamp,observation,observed_individuals,57.0,false,A
2017-02-01,gaslamp,observation,observed_total_units,57.0,false,A
2017-02-01,marina,observation,dsdp_adjusted_total,62.0,false,H
2017-02-01,marina,observation,observed_individuals,62.0,false,A
2017-02-01,marina,observation,observed_total_units,62.0,false,A
2017-03-01,city_center,observation,dsdp_adjusted_total,169.0,false,H
2017-03-01,columbia,observation,dsdp_adjusted_total,20.0,false,H
2017-03-01,columbia,observation,observed_individuals,20.0,false,A
2017-03-01,columbia,observation,observed_total_units,20.0,false,A
2017-03-01,core,observation,observed_individuals,167.0,false,A
2017-03-01,core,observation,observed_total_units,167.0,false,A
2017-03-01,cortez,observation,dsdp_adjusted_total,37.0,false,H
2017-03-01,cortez,observation,observed_individuals,34.0,false,A
2017-03-01,cortez,observation,observed_total_units,34.0,false,A
2017-03-01,east_village,observation,dsdp_adjusted_total,783.0,false,H
2017-03-01,east_village,observation,observed_individuals,783.0,false,A
2017-03-01,east_village,observation,observed_total_units,783.0,false,A
2017-03-01,gaslamp,observation,dsdp_adjusted_total,40.0,false,H
2017-03-01,gaslamp,observation,observed_individuals,40.0,false,A
2017-03-01,gaslamp,observation,observed_total_units,40.0,false,A
2017-03-01,marina,observation,dsdp_adjusted_total,56.0,false,H
2017-03-01,marina,observation,observed_individuals,38.0,false,A
2017-03-01,marina,observation,observed_structures,17.0,false,A
2017-03-01,marina,observation,observed_total_units,55.0,false,A
2017-04-01,city_center,observation,dsdp_adjusted_total,121.0,false,H
2017-04-01,columbia,observation,dsdp_adjusted_total,46.0,false,H
2017-04-01,columbia,observation,observed_individuals,39.0,false,A
2017-04-01,columbia,observation,observed_structures,4.0,false,A
2017-04-01,columbia,observation,observed_total_units,43.0,false,A
2017-04-01,core,observation,observed_individuals,109.0,false,A
2017-04-01,core,observation,observed_structures,7.0,false,A
2017-04-01,core,observation,observed_total_units,116.0,false,A
2017-04-01,cortez,observation,dsdp_adjusted_total,26.0,false,H
2017-04-01,cortez,observation,observed_individuals,21.0,false,A
2017-04-01,cortez,observation,observed_structures,2.0,false,A
2017-04-01,cortez,observation,observed_total_units,24.0,false,A
